"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","美元",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","103","孟加拉国","10","一般贸易","33","浙江省","440,757",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","106","缅甸","10","一般贸易","32","江苏省","12,420",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","107","柬埔寨","10","一般贸易","33","浙江省","26,100",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","110","中国香港","10","一般贸易","35","福建省","5,590",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","12","天津市","127,500",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","21","辽宁省","46,672",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","31","上海市","472,620",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","32","江苏省","1,607,169",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","33","浙江省","2,015,509",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","34","安徽省","6,731",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","36","江西省","666,267",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","37","山东省","900",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","42","湖北省","3,518,019",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","44","广东省","781,862",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","50","重庆市","12,613",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","61","陕西省","109,058",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","15","进料加工贸易","31","上海市","15,120",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","15","进料加工贸易","32","江苏省","39,963",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","15","进料加工贸易","45","广西壮族自治区","1,286,370",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","39","其他","11","北京市","1,800",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","39","其他","31","上海市","100",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","39","其他","33","浙江省","492",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","31","上海市","9,900",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","37","山东省","2,480",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","44","广东省","106,975",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","113","伊朗","10","一般贸易","31","上海市","11,945",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","113","伊朗","10","一般贸易","32","江苏省","69,765",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","115","以色列","10","一般贸易","31","上海市","1,278,749",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","115","以色列","10","一般贸易","50","重庆市","11,127",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","13","河北省","386,065",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","31","上海市","1,167,426",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","32","江苏省","266,884",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","33","浙江省","181,138",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","51","四川省","20",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","61","陕西省","17,740",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","120","黎巴嫩","10","一般贸易","33","浙江省","5,561",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","122","马来西亚","10","一般贸易","31","上海市","32,970",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","122","马来西亚","10","一般贸易","32","江苏省","14,630",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","124","蒙古","10","一般贸易","13","河北省","15,400",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","127","巴基斯坦","10","一般贸易","15","内蒙古自治区","10,200",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","127","巴基斯坦","10","一般贸易","32","江苏省","57,981",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","127","巴基斯坦","10","一般贸易","33","浙江省","915,919",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","127","巴基斯坦","10","一般贸易","37","山东省","3,600",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","127","巴基斯坦","10","一般贸易","43","湖南省","3,875",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","129","菲律宾","10","一般贸易","33","浙江省","107,742",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","131","沙特阿拉伯","10","一般贸易","31","上海市","117",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","132","新加坡","10","一般贸易","31","上海市","110",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","132","新加坡","10","一般贸易","32","江苏省","95,307",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","132","新加坡","10","一般贸易","37","山东省","1,550",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","11","北京市","28,800",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","12","天津市","2,080",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","31","上海市","539,175",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","32","江苏省","60,142",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","33","浙江省","111,013",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","36","江西省","237,080",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","37","山东省","92,692",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","42","湖北省","195,493",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","10","一般贸易","61","陕西省","214,382",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","133","韩国","39","其他","42","湖北省","12",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","134","斯里兰卡","10","一般贸易","51","四川省","9,654",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","136","泰国","10","一般贸易","31","上海市","105",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","136","泰国","10","一般贸易","32","江苏省","98,400",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","136","泰国","10","一般贸易","33","浙江省","13,600",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","136","泰国","10","一般贸易","37","山东省","33,206",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","137","土耳其","10","一般贸易","12","天津市","449,452",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","137","土耳其","10","一般贸易","32","江苏省","103,895",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","137","土耳其","10","一般贸易","33","浙江省","533,870",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","137","土耳其","10","一般贸易","44","广东省","137,132",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","138","阿联酋","10","一般贸易","11","北京市","36",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","138","阿联酋","10","一般贸易","32","江苏省","1,750",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","138","阿联酋","10","一般贸易","34","安徽省","8,193",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","138","阿联酋","10","一般贸易","37","山东省","27,360",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","141","越南","10","一般贸易","32","江苏省","123,231",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","141","越南","10","一般贸易","33","浙江省","131,701",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","141","越南","10","一般贸易","37","山东省","13,994",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","142","中国","10","一般贸易","31","上海市","675",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","142","中国","10","一般贸易","32","江苏省","260",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","142","中国","10","一般贸易","42","湖北省","62,451",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","142","中国","39","其他","31","上海市","2,041",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","142","中国","39","其他","32","江苏省","1,971",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","142","中国","39","其他","42","湖北省","4",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","143","中国台湾","10","一般贸易","31","上海市","26",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","143","中国台湾","10","一般贸易","32","江苏省","1,245",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","143","中国台湾","10","一般贸易","33","浙江省","190,638",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","143","中国台湾","10","一般贸易","35","福建省","17,464",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","143","中国台湾","39","其他","31","上海市","100",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","143","中国台湾","39","其他","32","江苏省","18",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","215","埃及","10","一般贸易","33","浙江省","145,167",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","221","几内亚","10","一般贸易","32","江苏省","3,250",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","244","南非","10","一般贸易","32","江苏省","39,255",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","301","比利时","10","一般贸易","32","江苏省","112,889",
"202101","293349","其他含有一个喹啉或异喹啉环系的化合物","301","比利时","10","一般贸易","33","浙江省","1,216,494",
